index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry,group_id
0,-10.6377,-44.543,,1.8,1.3,2015-09-27,1343,Terra,MODIS,100,6.2,,2764.7,0.0,D,481.7,324.7,2015,9,27,13,43,2015-09-27 13:43:00,Sep,POINT (-44.543 -10.6377),051
0,-10.2699,-44.0855,,2.5,1.5,2015-09-15,1609,Aqua,MODIS,100,6.2,,2778.3,0.0,D,451.8,326.3,2015,9,15,16,9,2015-09-15 16:09:00,Sep,POINT (-44.0855 -10.2699),052
0,-14.7839,-57.2368,,4.4,1.9,2015-09-16,1651,Aqua,MODIS,100,6.2,,2820.5,0.0,D,413.2,304.9,2015,9,16,16,51,2015-09-16 16:51:00,Sep,POINT (-57.2368 -14.7839),053
0,-7.09,-59.4338,,2.2,1.4,2015-08-20,1712,Aqua,MODIS,100,6.2,,2937.9,0.0,D,465.5,319.6,2015,8,20,17,12,2015-08-20 17:12:00,Aug,POINT (-59.4338 -7.09),054
0,-11.8872,-54.6108,,3.9,1.8,2015-07-11,1759,Aqua,MODIS,94,6.2,,3008.0,2.0,D,423.7,305.4,2015,7,11,17,59,2015-07-11 17:59:00,Jul,POINT (-54.6108 -11.8872),055
0,-7.599,-44.3069,,1.8,1.3,2015-08-05,1616,Aqua,MODIS,100,6.2,,3011.3,0.0,D,485.2,400.1,2015,8,5,16,16,2015-08-05 16:16:00,Aug,POINT (-44.3069 -7.599),056
0,-10.7889,-51.4046,,4.7,2.0,2015-09-17,1307,Terra,MODIS,100,6.2,,3037.2,0.0,D,412.1,310.1,2015,9,17,13,7,2015-09-17 13:07:00,Sep,POINT (-51.4046 -10.7889),057
0,-7.3214,-59.7547,,3.1,1.7,2015-08-29,1705,Aqua,MODIS,100,6.2,,3067.7,0.0,D,439.9,299.8,2015,8,29,17,5,2015-08-29 17:05:00,Aug,POINT (-59.7547 -7.3214),058
0,-11.7609,-64.9511,,3.1,1.7,2015-09-26,1729,Aqua,MODIS,100,6.2,,3071.7,0.0,D,441.7,292.0,2015,9,26,17,29,2015-09-26 17:29:00,Sep,POINT (-64.9511 -11.7609),059
0,-11.7963,-52.497,,4.0,1.9,2015-09-11,1633,Aqua,MODIS,100,6.2,,3123.8,0.0,D,424.3,300.1,2015,9,11,16,33,2015-09-11 16:33:00,Sep,POINT (-52.497 -11.7963),060
