Points within distance=10 km, time=30 days: 255
FirePoint(frp=16.1, coords=10 50' 40.56'' S 54 4' 58.44'' W, instrument=MODIS)
FirePoint(frp=18.6, coords=10 51' 55.08'' S 54 6' 7.56'' W, instrument=MODIS)
FirePoint(frp=33.1, coords=10 52' 4.44'' S 54 3' 18.72'' W, instrument=MODIS)
FirePoint(frp=57.1, coords=10 52' 41.16'' S 54 3' 46.8'' W, instrument=MODIS)
FirePoint(frp=9.8, coords=10 50' 35.88'' S 54 4' 25.68'' W, instrument=MODIS)
FirePoint(frp=27.3, coords=10 51' 4.32'' S 54 4' 1.2'' W, instrument=MODIS)
FirePoint(frp=103.6, coords=10 52' 17.04'' S 54 3' 38.52'' W, instrument=MODIS)
FirePoint(frp=91.2, coords=10 52' 15.96'' S 54 3' 21.24'' W, instrument=MODIS)
FirePoint(frp=55.8, coords=10 50' 36.6'' S 54 5' 38.4'' W, instrument=MODIS)
FirePoint(frp=51.9, coords=10 51' 13.68'' S 54 5' 33'' W, instrument=MODIS)
FirePoint(frp=112.4, coords=10 52' 43.32'' S 54 3' 29.88'' W, instrument=MODIS)
FirePoint(frp=8.8, coords=10 52' 56.28'' S 54 5' 25.8'' W, instrument=MODIS)
FirePoint(frp=113.2, coords=10 53' 8.88'' S 54 5' 7.8'' W, instrument=MODIS)
FirePoint(frp=97.4, coords=10 54' 21.6'' S 54 4' 26.04'' W, instrument=MODIS)
FirePoint(frp=550.7, coords=10 53' 32.28'' S 54 4' 35.4'' W, instrument=MODIS)
FirePoint(frp=58.9, coords=10 51' 43.56'' S 54 6' 47.88'' W, instrument=MODIS)
FirePoint(frp=79.5, coords=10 51' 29.88'' S 54 5' 24.72'' W, instrument=MODIS)
FirePoint(frp=72.6, coords=10 54' 7.2'' S 54 3' 1.44'' W, instrument=MODIS)
FirePoint(frp=134.9, coords=10 52' 27.84'' S 54 3' 19.44'' W, instrument=MODIS)
FirePoint(frp=172.0, coords=10 52' 42.6'' S 54 4' 44.4'' W, instrument=MODIS)
FirePoint(frp=40.7, coords=10 53' 14.28'' S 54 4' 31.8'' W, instrument=MODIS)
FirePoint(frp=37.5, coords=10 52' 54.84'' S 54 4' 57.36'' W, instrument=MODIS)
FirePoint(frp=197.5, coords=10 53' 24.36'' S 54 3' 40.68'' W, instrument=MODIS)
FirePoint(frp=69.4, coords=10 53' 15.72'' S 54 2' 28.68'' W, instrument=MODIS)
FirePoint(frp=120.6, coords=10 52' 37.56'' S 54 2' 51.36'' W, instrument=MODIS)
FirePoint(frp=62.4, coords=10 51' 22.32'' S 54 5' 27.6'' W, instrument=MODIS)
FirePoint(frp=68.5, coords=10 50' 35.52'' S 54 5' 34.08'' W, instrument=MODIS)
FirePoint(frp=114.0, coords=10 52' 37.56'' S 54 3' 46.8'' W, instrument=MODIS)
FirePoint(frp=49.9, coords=10 54' 11.16'' S 54 3' 35.28'' W, instrument=MODIS)
FirePoint(frp=11.2, coords=10 53' 45.6'' S 54 3' 33.84'' W, instrument=MODIS)
FirePoint(frp=5.1, coords=10 50' 13.2'' S 54 5' 36.96'' W, instrument=MODIS)
FirePoint(frp=5.2, coords=10 51' 28.8'' S 54 6' 34.56'' W, instrument=MODIS)
FirePoint(frp=6.5, coords=10 52' 35.04'' S 54 3' 10.08'' W, instrument=MODIS)
FirePoint(frp=16.7, coords=10 53' 50.64'' S 54 4' 7.68'' W, instrument=MODIS)
FirePoint(frp=8.9, coords=10 51' 23.76'' S 54 6' 0.72'' W, instrument=MODIS)
FirePoint(frp=7.5, coords=10 53' 17.88'' S 54 4' 13.08'' W, instrument=MODIS)
FirePoint(frp=154.7, coords=10 53' 35.16'' S 54 4' 11.64'' W, instrument=MODIS)
FirePoint(frp=40.7, coords=10 53' 19.32'' S 54 2' 32.64'' W, instrument=MODIS)
FirePoint(frp=52.0, coords=10 54' 14.04'' S 54 4' 4.8'' W, instrument=MODIS)
FirePoint(frp=66.5, coords=10 53' 27.24'' S 54 3' 22.32'' W, instrument=MODIS)
FirePoint(frp=162.2, coords=10 53' 11.4'' S 54 3' 6.84'' W, instrument=MODIS)
FirePoint(frp=101.7, coords=10 53' 26.16'' S 54 5' 12.48'' W, instrument=MODIS)
FirePoint(frp=137.8, coords=10 53' 44.52'' S 54 4' 54.84'' W, instrument=MODIS)
FirePoint(frp=182.5, coords=10 53' 30.84'' S 54 2' 49.2'' W, instrument=MODIS)
FirePoint(frp=8.5, coords=10 53' 29.76'' S 54 3' 1.8'' W, instrument=MODIS)
FirePoint(frp=5.9, coords=10 53' 34.44'' S 54 3' 37.8'' W, instrument=MODIS)
FirePoint(frp=49.9, coords=10 53' 40.2'' S 54 3' 32.4'' W, instrument=MODIS)
FirePoint(frp=46.7, coords=10 53' 22.2'' S 54 5' 19.32'' W, instrument=MODIS)
FirePoint(frp=35.1, coords=10 53' 45.24'' S 54 4' 6.24'' W, instrument=MODIS)
FirePoint(frp=35.3, coords=10 54' 7.56'' S 54 3' 15.48'' W, instrument=MODIS)
FirePoint(frp=52.6, coords=10 52' 30'' S 54 4' 29.64'' W, instrument=MODIS)
FirePoint(frp=17.1, coords=10 52' 49.8'' S 54 6' 36.72'' W, instrument=MODIS)
FirePoint(frp=27.0, coords=10 51' 0.36'' S 54 2' 38.4'' W, instrument=MODIS)
FirePoint(frp=67.6, coords=10 51' 7.92'' S 54 3' 27.72'' W, instrument=MODIS)
FirePoint(frp=7.7, coords=10 54' 13.32'' S 54 3' 45.72'' W, instrument=MODIS)
FirePoint(frp=49.0, coords=10 53' 30.84'' S 54 6' 12.24'' W, instrument=MODIS)
FirePoint(frp=16.9, coords=10 51' 32.76'' S 53 58' 55.2'' W, instrument=MODIS)
FirePoint(frp=13.5, coords=10 50' 6'' S 53 59' 37.68'' W, instrument=MODIS)
FirePoint(frp=283.5, coords=10 51' 50.4'' S 53 58' 58.8'' W, instrument=MODIS)
FirePoint(frp=139.1, coords=10 50' 35.52'' S 54 0' 4.32'' W, instrument=MODIS)
FirePoint(frp=148.0, coords=10 51' 40.68'' S 53 58' 41.88'' W, instrument=MODIS)
FirePoint(frp=46.7, coords=10 50' 44.88'' S 54 6' 37.44'' W, instrument=MODIS)
FirePoint(frp=119.3, coords=10 51' 47.52'' S 53 59' 36.6'' W, instrument=MODIS)
FirePoint(frp=95.2, coords=10 51' 57.96'' S 53 59' 53.88'' W, instrument=MODIS)
FirePoint(frp=14.6, coords=10 49' 40.08'' S 54 0' 12.96'' W, instrument=MODIS)
FirePoint(frp=9.0, coords=10 51' 54.72'' S 53 59' 11.04'' W, instrument=MODIS)
FirePoint(frp=14.3, coords=10 51' 48.6'' S 53 58' 31.8'' W, instrument=MODIS)
FirePoint(frp=16.6, coords=10 50' 21.12'' S 54 0' 46.8'' W, instrument=MODIS)
FirePoint(frp=9.2, coords=10 49' 45.12'' S 54 0' 1.44'' W, instrument=MODIS)
FirePoint(frp=33.4, coords=10 50' 34.8'' S 54 6' 31.68'' W, instrument=MODIS)
FirePoint(frp=1791.0, coords=10 51' 21.96'' S 54 1' 33.96'' W, instrument=MODIS)
FirePoint(frp=340.1, coords=10 53' 3.48'' S 54 1' 47.64'' W, instrument=MODIS)
FirePoint(frp=454.7, coords=10 51' 58.68'' S 54 0' 17.28'' W, instrument=MODIS)
FirePoint(frp=563.9, coords=10 52' 10.56'' S 54 1' 53.76'' W, instrument=MODIS)
FirePoint(frp=242.2, coords=10 52' 3.36'' S 53 59' 51.72'' W, instrument=MODIS)
FirePoint(frp=61.1, coords=10 50' 59.64'' S 53 58' 22.8'' W, instrument=MODIS)
FirePoint(frp=148.7, coords=10 51' 46.8'' S 53 58' 41.88'' W, instrument=MODIS)
FirePoint(frp=151.2, coords=10 51' 52.2'' S 53 58' 16.68'' W, instrument=MODIS)
FirePoint(frp=116.9, coords=10 52' 51.24'' S 54 0' 10.8'' W, instrument=MODIS)
FirePoint(frp=126.8, coords=10 51' 10.8'' S 53 59' 58.2'' W, instrument=MODIS)
FirePoint(frp=491.8, coords=10 53' 7.44'' S 54 1' 21.72'' W, instrument=MODIS)
FirePoint(frp=164.8, coords=10 50' 18.24'' S 54 0' 3.96'' W, instrument=MODIS)
FirePoint(frp=66.1, coords=10 50' 54.24'' S 53 58' 48'' W, instrument=MODIS)
FirePoint(frp=404.3, coords=10 51' 5.76'' S 54 0' 23.4'' W, instrument=MODIS)
FirePoint(frp=201.6, coords=10 49' 43.68'' S 54 3' 48.6'' W, instrument=MODIS)
FirePoint(frp=2174.1, coords=10 49' 32.16'' S 54 2' 12.48'' W, instrument=MODIS)
FirePoint(frp=1475.2, coords=10 50' 36.6'' S 54 3' 42.48'' W, instrument=MODIS)
FirePoint(frp=6980.1, coords=10 50' 25.08'' S 54 2' 6'' W, instrument=MODIS)
FirePoint(frp=2023.3, coords=10 51' 17.64'' S 54 1' 59.52'' W, instrument=MODIS)
FirePoint(frp=3314.4, coords=10 50' 40.2'' S 54 3' 17.64'' W, instrument=MODIS)
FirePoint(frp=554.6, coords=10 50' 13.2'' S 54 0' 29.16'' W, instrument=MODIS)
FirePoint(frp=198.3, coords=10 49' 20.64'' S 54 0' 36.36'' W, instrument=MODIS)
FirePoint(frp=5901.7, coords=10 50' 29.04'' S 54 1' 40.44'' W, instrument=MODIS)
FirePoint(frp=238.4, coords=10 51' 33.12'' S 54 3' 10.44'' W, instrument=MODIS)
FirePoint(frp=487.6, coords=10 52' 14.88'' S 54 1' 28.2'' W, instrument=MODIS)
FirePoint(frp=9.1, coords=10 51' 35.28'' S 53 58' 9.48'' W, instrument=MODIS)
FirePoint(frp=21.6, coords=10 48' 56.16'' S 54 2' 48.84'' W, instrument=MODIS)
FirePoint(frp=24.8, coords=10 49' 0.84'' S 54 3' 21.6'' W, instrument=MODIS)
FirePoint(frp=63.7, coords=10 50' 2.76'' S 54 2' 51.36'' W, instrument=MODIS)
FirePoint(frp=16.4, coords=10 49' 58.08'' S 54 2' 18.6'' W, instrument=MODIS)
FirePoint(frp=6.7, coords=10 50' 35.16'' S 54 2' 46.68'' W, instrument=MODIS)
FirePoint(frp=11.0, coords=10 51' 7.56'' S 54 2' 41.64'' W, instrument=MODIS)
FirePoint(frp=11.2, coords=10 51' 53.64'' S 54 0' 20.88'' W, instrument=MODIS)
FirePoint(frp=11.0, coords=10 51' 49.32'' S 53 59' 47.76'' W, instrument=MODIS)
FirePoint(frp=14.9, coords=10 52' 35.4'' S 54 1' 21.72'' W, instrument=MODIS)
FirePoint(frp=10.1, coords=10 48' 42.12'' S 54 1' 10.2'' W, instrument=MODIS)
FirePoint(frp=13.8, coords=10 51' 35.28'' S 54 2' 4.2'' W, instrument=MODIS)
FirePoint(frp=9.2, coords=10 52' 17.04'' S 53 59' 10.32'' W, instrument=MODIS)
FirePoint(frp=13.8, coords=10 52' 12.36'' S 53 58' 37.56'' W, instrument=MODIS)
FirePoint(frp=13.1, coords=10 52' 7.68'' S 53 58' 4.8'' W, instrument=MODIS)
FirePoint(frp=6.2, coords=10 49' 12'' S 54 0' 44.64'' W, instrument=MODIS)
FirePoint(frp=5.4, coords=10 51' 2.88'' S 53 58' 14.16'' W, instrument=MODIS)
FirePoint(frp=46.8, coords=10 48' 46.8'' S 54 1' 43.32'' W, instrument=MODIS)
FirePoint(frp=15.0, coords=10 48' 51.48'' S 54 2' 16.08'' W, instrument=MODIS)
FirePoint(frp=36.5, coords=10 49' 35.04'' S 54 3' 28.8'' W, instrument=MODIS)
