frp,latitude,longitude,instrument,is_top_point
53.4,-9.18827,-65.41969,VIIRS,False
11.5,-9.22428,-65.41058000000001,VIIRS,False
84.0,-9.19491,-65.41866999999999,VIIRS,False
16.9,-9.19824,-65.41816,VIIRS,False
11.5,-9.22707,-65.40656,VIIRS,False
12.6,-9.214319999999999,-65.41212,VIIRS,False
17.1,-9.2171,-65.4081,VIIRS,False
12.6,-9.210989999999999,-65.41261,VIIRS,False
15.1,-9.19106,-65.41568000000001,VIIRS,False
84.0,-9.19159,-65.41918000000001,VIIRS,False
6.6,-9.177769999999999,-65.41771999999999,VIIRS,False
12.6,-9.21378,-65.4086,VIIRS,False
6.1,-9.20698,-65.42664,VIIRS,False
4.3,-9.20776,-65.42246,VIIRS,False
1.8,-9.19605,-65.42035,VIIRS,False
2.4,-9.18945,-65.42336,VIIRS,False
4.3,-9.20191,-65.42139,VIIRS,False
4.4,-9.20641,-65.42262,VIIRS,False
2.4,-9.19529,-65.42446,VIIRS,False
5.3,-9.20561,-65.42678000000001,VIIRS,False
1.0,-9.22555,-65.41741999999999,VIIRS,False
1.0,-9.22684,-65.41728,VIIRS,False
2.4,-9.2205,-65.41225,VIIRS,False
4.3,-9.20852,-65.41830999999999,VIIRS,False
3.0,-9.220989999999999,-65.41627,VIIRS,False
3.0,-9.21306,-65.41953000000001,VIIRS,False
6.1,-9.201139999999999,-65.42554,VIIRS,False
2.4,-9.21385,-65.41537,VIIRS,False
4.4,-9.20135,-65.41744,VIIRS,False
3.0,-9.21514,-65.41521,VIIRS,False
5.3,-9.199760000000001,-65.4257,VIIRS,False
4.4,-9.200560000000001,-65.42156999999999,VIIRS,False
4.4,-9.20721,-65.41848,VIIRS,False
3.0,-9.21225,-65.42368,VIIRS,False
3.9,-9.20929,-65.41415,VIIRS,False
2.4,-9.2197,-65.41642,VIIRS,False
1.0,-9.22633,-65.41335,VIIRS,False
1.5,-9.17774,-65.42123000000001,VIIRS,False
4.0,-9.2206,-65.45116999999999,VIIRS,False
1.8,-9.19683,-65.41620999999999,VIIRS,False
3.0,-9.22175,-65.41212,VIIRS,False
2.4,-9.21465,-65.41122,VIIRS,False
5.9,-9.214369999999999,-65.41937,VIIRS,False
3.7,-9.208,-65.41434,VIIRS,False
5.1,-9.21908,-65.45121,VIIRS,False
1.8,-9.19021,-65.41925,VIIRS,False
1.5,-9.1836,-65.42229,VIIRS,False
4.3,-9.20268,-65.41726,VIIRS,False
7.0,-9.22294,-65.41438000000001,VIIRS,False
5.5,-9.22507,-65.42712,VIIRS,False
6.2,-9.208039999999999,-65.41949,VIIRS,False
7.2,-9.204830000000001,-65.42496,VIIRS,False
4.8,-9.22401,-65.44756,VIIRS,False
6.6,-9.20023,-65.42061,VIIRS,False
5.1,-9.21124,-65.414,VIIRS,False
12.0,-9.22309,-65.44476,VIIRS,False
12.0,-9.22377,-65.44974,VIIRS,False
2.6,-9.21513,-65.41552,VIIRS,False
12.0,-9.21918,-65.44533,VIIRS,False
12.0,-9.21985,-65.45029,VIIRS,False
