FirePoint(frp=3.9, coords=9 11' 21.516'' S 65 24' 34.02'' W, instrument=VIIRS)
FirePoint(frp=8.2, coords=9 10' 51.24'' S 65 24' 42.876'' W, instrument=VIIRS)
FirePoint(frp=4.8, coords=9 10' 36.3'' S 65 24' 45.972'' W, instrument=VIIRS)
FirePoint(frp=23.9, coords=9 11' 31.128'' S 65 24' 35.856'' W, instrument=VIIRS)
FirePoint(frp=23.9, coords=9 11' 33.576'' S 65 24' 49.14'' W, instrument=VIIRS)
FirePoint(frp=12.1, coords=9 11' 53.52'' S 65 24' 45.648'' W, instrument=VIIRS)
FirePoint(frp=23.9, coords=9 11' 13.668'' S 65 24' 52.668'' W, instrument=VIIRS)
FirePoint(frp=23.9, coords=9 11' 11.184'' S 65 24' 39.384'' W, instrument=VIIRS)
FirePoint(frp=8.2, coords=9 11' 56.004'' S 65 24' 59.04'' W, instrument=VIIRS)
FirePoint(frp=12.1, coords=9 12' 11.016'' S 65 24' 28.944'' W, instrument=VIIRS)
FirePoint(frp=3.2, coords=9 12' 30.996'' S 65 24' 25.488'' W, instrument=VIIRS)
FirePoint(frp=8.2, coords=9 10' 53.724'' S 65 24' 56.16'' W, instrument=VIIRS)
FirePoint(frp=4.2, coords=9 12' 59.868'' S 65 24' 45.72'' W, instrument=VIIRS)
FirePoint(frp=4.5, coords=9 12' 9.432'' S 65 24' 50.796'' W, instrument=VIIRS)
FirePoint(frp=1.9, coords=9 11' 45.24'' S 65 24' 46.872'' W, instrument=VIIRS)
FirePoint(frp=1.3, coords=9 11' 33.144'' S 65 24' 44.928'' W, instrument=VIIRS)
FirePoint(frp=4.9, coords=9 11' 31.056'' S 65 24' 57.78'' W, instrument=VIIRS)
FirePoint(frp=1.6, coords=9 10' 28.524'' S 65 25' 0.876'' W, instrument=VIIRS)
FirePoint(frp=1.2, coords=9 11' 6.9'' S 65 24' 53.856'' W, instrument=VIIRS)
FirePoint(frp=1.2, coords=9 11' 4.812'' S 65 25' 6.78'' W, instrument=VIIRS)
FirePoint(frp=0.9, coords=9 11' 8.952'' S 65 24' 40.968'' W, instrument=VIIRS)
FirePoint(frp=4.9, coords=9 11' 18.996'' S 65 24' 55.836'' W, instrument=VIIRS)
FirePoint(frp=1.2, coords=9 10' 54.804'' S 65 24' 51.876'' W, instrument=VIIRS)
FirePoint(frp=0.9, coords=9 10' 44.76'' S 65 24' 37.044'' W, instrument=VIIRS)
FirePoint(frp=4.5, coords=9 12' 21.528'' S 65 24' 52.74'' W, instrument=VIIRS)
FirePoint(frp=4.5, coords=9 12' 23.58'' S 65 24' 39.888'' W, instrument=VIIRS)
FirePoint(frp=1.9, coords=9 11' 57.336'' S 65 24' 48.852'' W, instrument=VIIRS)
FirePoint(frp=3.9, coords=9 11' 43.152'' S 65 24' 59.76'' W, instrument=VIIRS)
FirePoint(frp=1.4, coords=9 15' 17.46'' S 65 22' 2.892'' W, instrument=VIIRS)
FirePoint(frp=4.5, coords=9 12' 47.772'' S 65 24' 43.776'' W, instrument=VIIRS)
FirePoint(frp=4.5, coords=9 12' 35.676'' S 65 24' 41.796'' W, instrument=VIIRS)
FirePoint(frp=1.6, coords=9 10' 40.62'' S 65 25' 2.856'' W, instrument=VIIRS)
FirePoint(frp=1.6, coords=9 10' 42.708'' S 65 24' 49.932'' W, instrument=VIIRS)
FirePoint(frp=1.3, coords=9 11' 21.048'' S 65 24' 42.948'' W, instrument=VIIRS)
FirePoint(frp=4.5, coords=9 12' 11.484'' S 65 24' 37.908'' W, instrument=VIIRS)
FirePoint(frp=4.9, coords=9 11' 16.908'' S 65 25' 8.724'' W, instrument=VIIRS)
FirePoint(frp=1.6, coords=9 10' 30.612'' S 65 24' 47.952'' W, instrument=VIIRS)
FirePoint(frp=2.1, coords=9 10' 33.924'' S 65 24' 57.24'' W, instrument=VIIRS)
FirePoint(frp=1.3, coords=9 11' 4.632'' S 65 25' 2.64'' W, instrument=VIIRS)
FirePoint(frp=3.9, coords=9 11' 17.484'' S 65 25' 19.668'' W, instrument=VIIRS)
FirePoint(frp=1.6, coords=9 11' 37.788'' S 65 24' 53.676'' W, instrument=VIIRS)
FirePoint(frp=2.0, coords=9 12' 26.28'' S 65 24' 47.196'' W, instrument=VIIRS)
FirePoint(frp=3.1, coords=9 13' 12.324'' S 65 24' 55.044'' W, instrument=VIIRS)
FirePoint(frp=3.1, coords=9 13' 14.772'' S 65 24' 40.644'' W, instrument=VIIRS)
FirePoint(frp=1.5, coords=9 13' 23.196'' S 65 26' 56.472'' W, instrument=VIIRS)
FirePoint(frp=2.1, coords=9 10' 49.26'' S 65 24' 59.976'' W, instrument=VIIRS)
FirePoint(frp=1.6, coords=9 11' 35.304'' S 65 25' 8.04'' W, instrument=VIIRS)
FirePoint(frp=3.1, coords=9 13' 30.108'' S 65 24' 43.416'' W, instrument=VIIRS)
FirePoint(frp=2.0, coords=9 12' 23.796'' S 65 25' 1.56'' W, instrument=VIIRS)
FirePoint(frp=4.5, coords=9 12' 41.616'' S 65 24' 49.788'' W, instrument=VIIRS)
FirePoint(frp=7.2, coords=9 10' 46.776'' S 65 25' 14.376'' W, instrument=VIIRS)
FirePoint(frp=1.3, coords=9 11' 19.968'' S 65 25' 5.304'' W, instrument=VIIRS)
FirePoint(frp=1.6, coords=9 11' 50.64'' S 65 25' 10.704'' W, instrument=VIIRS)
FirePoint(frp=3.9, coords=9 11' 2.112'' S 65 25' 17.004'' W, instrument=VIIRS)
FirePoint(frp=7.2, coords=9 10' 31.404'' S 65 25' 11.784'' W, instrument=VIIRS)
FirePoint(frp=1.6, coords=9 11' 53.124'' S 65 24' 56.304'' W, instrument=VIIRS)
FirePoint(frp=2.0, coords=9 12' 6.012'' S 65 25' 13.296'' W, instrument=VIIRS)
FirePoint(frp=2.0, coords=9 12' 8.46'' S 65 24' 58.932'' W, instrument=VIIRS)
FirePoint(frp=2.0, coords=9 12' 10.944'' S 65 24' 44.604'' W, instrument=VIIRS)
FirePoint(frp=0.8, coords=9 11' 32.82'' S 65 25' 22.332'' W, instrument=VIIRS)
FirePoint(frp=8.2, coords=9 11' 15.828'' S 65 24' 58.284'' W, instrument=VIIRS)
FirePoint(frp=53.4, coords=9 11' 5.82'' S 65 25' 12.72'' W, instrument=VIIRS)
FirePoint(frp=84.0, coords=9 11' 31.668'' S 65 25' 21.648'' W, instrument=VIIRS)
FirePoint(frp=15.1, coords=9 11' 39.768'' S 65 24' 54.612'' W, instrument=VIIRS)
FirePoint(frp=11.0, coords=9 11' 51.72'' S 65 24' 52.776'' W, instrument=VIIRS)
FirePoint(frp=11.0, coords=9 12' 3.708'' S 65 24' 50.94'' W, instrument=VIIRS)
FirePoint(frp=2.9, coords=9 12' 15.66'' S 65 24' 49.104'' W, instrument=VIIRS)
FirePoint(frp=2.9, coords=9 12' 27.612'' S 65 24' 47.232'' W, instrument=VIIRS)
FirePoint(frp=17.1, coords=9 13' 3.504'' S 65 24' 41.76'' W, instrument=VIIRS)
FirePoint(frp=84.0, coords=9 11' 43.62'' S 65 25' 19.812'' W, instrument=VIIRS)
FirePoint(frp=17.1, coords=9 13' 15.456'' S 65 24' 39.924'' W, instrument=VIIRS)
FirePoint(frp=45.7, coords=9 10' 27.984'' S 65 25' 5.628'' W, instrument=VIIRS)
FirePoint(frp=33.1, coords=9 10' 41.88'' S 65 25' 16.392'' W, instrument=VIIRS)
FirePoint(frp=33.1, coords=9 10' 53.832'' S 65 25' 14.592'' W, instrument=VIIRS)
FirePoint(frp=6.6, coords=9 10' 51.924'' S 65 25' 1.956'' W, instrument=VIIRS)
FirePoint(frp=53.4, coords=9 11' 17.772'' S 65 25' 10.884'' W, instrument=VIIRS)
FirePoint(frp=11.5, coords=9 13' 27.408'' S 65 24' 38.088'' W, instrument=VIIRS)
FirePoint(frp=84.0, coords=9 11' 41.676'' S 65 25' 7.212'' W, instrument=VIIRS)
FirePoint(frp=16.9, coords=9 11' 53.664'' S 65 25' 5.376'' W, instrument=VIIRS)
FirePoint(frp=11.5, coords=9 13' 37.452'' S 65 24' 23.616'' W, instrument=VIIRS)
FirePoint(frp=12.6, coords=9 12' 51.552'' S 65 24' 43.632'' W, instrument=VIIRS)
FirePoint(frp=17.1, coords=9 13' 1.56'' S 65 24' 29.16'' W, instrument=VIIRS)
FirePoint(frp=12.6, coords=9 12' 39.564'' S 65 24' 45.396'' W, instrument=VIIRS)
FirePoint(frp=15.1, coords=9 11' 27.816'' S 65 24' 56.448'' W, instrument=VIIRS)
FirePoint(frp=84.0, coords=9 11' 29.724'' S 65 25' 9.048'' W, instrument=VIIRS)
FirePoint(frp=6.6, coords=9 10' 39.972'' S 65 25' 3.792'' W, instrument=VIIRS)
FirePoint(frp=12.6, coords=9 12' 49.608'' S 65 24' 30.96'' W, instrument=VIIRS)
FirePoint(frp=6.1, coords=9 12' 25.128'' S 65 25' 35.904'' W, instrument=VIIRS)
FirePoint(frp=4.3, coords=9 12' 27.936'' S 65 25' 20.856'' W, instrument=VIIRS)
FirePoint(frp=1.8, coords=9 11' 45.78'' S 65 25' 13.26'' W, instrument=VIIRS)
FirePoint(frp=2.4, coords=9 11' 22.02'' S 65 25' 24.096'' W, instrument=VIIRS)
FirePoint(frp=4.3, coords=9 12' 6.876'' S 65 25' 17.004'' W, instrument=VIIRS)
FirePoint(frp=4.4, coords=9 12' 23.076'' S 65 25' 21.432'' W, instrument=VIIRS)
FirePoint(frp=2.4, coords=9 11' 43.044'' S 65 25' 28.056'' W, instrument=VIIRS)
FirePoint(frp=5.3, coords=9 12' 20.196'' S 65 25' 36.408'' W, instrument=VIIRS)
FirePoint(frp=1.0, coords=9 13' 31.98'' S 65 25' 2.712'' W, instrument=VIIRS)
FirePoint(frp=1.0, coords=9 13' 36.624'' S 65 25' 2.208'' W, instrument=VIIRS)
FirePoint(frp=2.4, coords=9 13' 13.8'' S 65 24' 44.1'' W, instrument=VIIRS)
FirePoint(frp=4.3, coords=9 12' 30.672'' S 65 25' 5.916'' W, instrument=VIIRS)
FirePoint(frp=3.0, coords=9 13' 15.564'' S 65 24' 58.572'' W, instrument=VIIRS)
FirePoint(frp=3.0, coords=9 12' 47.016'' S 65 25' 10.308'' W, instrument=VIIRS)
FirePoint(frp=6.1, coords=9 12' 4.104'' S 65 25' 31.944'' W, instrument=VIIRS)
FirePoint(frp=2.4, coords=9 12' 49.86'' S 65 24' 55.332'' W, instrument=VIIRS)
FirePoint(frp=4.4, coords=9 12' 4.86'' S 65 25' 2.784'' W, instrument=VIIRS)
FirePoint(frp=3.0, coords=9 12' 54.504'' S 65 24' 54.756'' W, instrument=VIIRS)
FirePoint(frp=5.3, coords=9 11' 59.136'' S 65 25' 32.52'' W, instrument=VIIRS)
FirePoint(frp=4.4, coords=9 12' 2.016'' S 65 25' 17.652'' W, instrument=VIIRS)
FirePoint(frp=4.4, coords=9 12' 25.956'' S 65 25' 6.528'' W, instrument=VIIRS)
FirePoint(frp=3.0, coords=9 12' 44.1'' S 65 25' 25.248'' W, instrument=VIIRS)
FirePoint(frp=3.9, coords=9 12' 33.444'' S 65 24' 50.94'' W, instrument=VIIRS)
FirePoint(frp=2.4, coords=9 13' 10.92'' S 65 24' 59.112'' W, instrument=VIIRS)
FirePoint(frp=1.0, coords=9 13' 34.788'' S 65 24' 48.06'' W, instrument=VIIRS)
