frp,day,time,latitude,longitude,instrument,is_top_point,group_id
3.4,2015-09-10,17:12:00,-10.289019999999999,-64.59476,VIIRS,False,4221298
9.5,2015-09-10,17:12:00,-10.305439999999999,-64.63353000000001,VIIRS,False,4221298
3.8,2015-09-10,17:12:00,-10.294310000000001,-64.5903,VIIRS,False,4221298
113.1,2015-09-10,17:12:00,-10.29005,-64.65134,VIIRS,False,4221298
12.1,2015-09-10,17:12:00,-10.3112,-64.63277,VIIRS,False,4221298
3.2,2015-09-10,17:12:00,-10.32878,-64.58606,VIIRS,False,4221298
6.0,2015-09-10,17:12:00,-10.302389999999999,-64.56114000000001,VIIRS,False,4221298
3.4,2015-09-10,17:12:00,-10.28854,-64.59081,VIIRS,False,4221298
1.0,2015-09-11,05:59:00,-10.28483,-64.5928,VIIRS,False,4221298
0.8,2015-09-11,05:59:00,-10.32582,-64.58829,VIIRS,False,4221298
1.0,2015-09-11,05:59:00,-10.28088,-64.59221,VIIRS,False,4221298
1.4,2015-09-11,05:59:00,-10.3305,-64.58375,VIIRS,False,4221298
1.6,2015-09-11,05:59:00,-10.286669999999999,-64.66583,VIIRS,False,4221298
2.1,2015-09-11,05:59:00,-10.28595,-64.67090999999999,VIIRS,False,4221298
1.4,2015-09-11,05:59:00,-10.32977,-64.58888,VIIRS,False,4221298
0.8,2015-09-11,05:59:00,-10.32655,-64.58317,VIIRS,False,4221298
6.3,2015-09-11,18:34:00,-10.28876,-64.66426,VIIRS,False,4221298
9.9,2015-09-11,18:34:00,-10.29292,-64.65514,VIIRS,False,4221298
6.3,2015-09-11,18:34:00,-10.29369,-64.65916,VIIRS,False,4221298
2.8,2015-09-11,18:34:00,-10.331430000000001,-64.57706999999999,VIIRS,False,4221298
28.0,2015-09-11,18:34:00,-10.28096,-64.56143,VIIRS,False,4221298
8.2,2015-09-11,18:34:00,-10.293,-64.66065,VIIRS,False,4221298
8.2,2015-09-11,18:34:00,-10.288039999999999,-64.66575999999999,VIIRS,False,4221298
47.7,2015-09-11,18:34:00,-10.28383,-64.66933,VIIRS,False,4221298
28.0,2015-09-11,18:34:00,-10.28173,-64.56548000000001,VIIRS,False,4221298
11.3,2015-09-11,18:34:00,-10.29226,-64.65661999999999,VIIRS,False,4221298
47.7,2015-09-11,18:34:00,-10.28459,-64.67331,VIIRS,False,4221298
42.3,2015-09-11,18:34:00,-10.2802,-64.55745999999999,VIIRS,False,4221298
6.7,2015-09-11,18:34:00,-10.31195,-64.5682,VIIRS,False,4221298
25.2,2015-09-11,18:34:00,-10.28308,-64.67086,VIIRS,False,4221298
16.3,2015-09-11,18:34:00,-10.288789999999999,-64.6698,VIIRS,False,4221298
4.8,2015-09-11,18:34:00,-10.289530000000001,-64.66828000000001,VIIRS,False,4221298
25.2,2015-09-11,18:34:00,-10.28381,-64.67484,VIIRS,False,4221298
1.0,2015-09-12,05:40:00,-10.28285,-64.5639,VIIRS,False,4221298
1.6,2015-09-12,05:40:00,-10.28624,-64.6722,VIIRS,False,4221298
1.4,2015-09-12,05:40:00,-10.29176,-64.65875,VIIRS,False,4221298
0.9,2015-09-12,05:40:00,-10.2834,-64.56039,VIIRS,False,4221298
4.1,2015-09-13,17:56:00,-10.32415,-64.58428,VIIRS,False,4221298
5.0,2015-09-13,17:56:00,-10.32805,-64.58733000000001,VIIRS,False,4221298
5.0,2015-09-13,17:56:00,-10.3247,-64.58785,VIIRS,False,4221298
6.8,2015-09-13,17:56:00,-10.35132,-64.59376999999999,VIIRS,False,4221298
3.8,2015-09-13,17:56:00,-10.276,-64.67203,VIIRS,False,4221298
2.3,2015-09-15,17:18:00,-10.31093,-64.63229,VIIRS,False,4221298
19.6,2015-09-16,18:40:00,-10.269919999999999,-64.50519,VIIRS,False,4221298
19.6,2015-09-16,18:40:00,-10.27628,-64.50407,VIIRS,False,4221298
21.5,2015-09-16,18:40:00,-10.263530000000001,-64.50618,VIIRS,False,4221298
20.9,2015-09-16,18:40:00,-10.312380000000001,-64.58807,VIIRS,False,4221298
7.7,2015-09-16,18:40:00,-10.28694,-64.62519,VIIRS,False,4221298
19.7,2015-09-16,18:40:00,-10.313410000000001,-64.59335,VIIRS,False,4221298
19.6,2015-09-16,18:40:00,-10.27091,-64.51021999999999,VIIRS,False,4221298
13.4,2015-09-16,18:40:00,-10.26207,-64.50565999999999,VIIRS,False,4221298
0.7,2015-09-17,05:46:00,-10.265999999999998,-64.50684,VIIRS,False,4221298
0.5,2015-09-17,05:46:00,-10.26939,-64.50739,VIIRS,False,4221298
0.5,2015-09-17,05:46:00,-10.272789999999999,-64.50791,VIIRS,False,4221298
0.8,2015-09-17,05:46:00,-10.29035,-64.62272,VIIRS,False,4221298
5.5,2015-09-17,18:21:00,-10.286669999999999,-64.62132,VIIRS,False,4221298
2.5,2015-09-17,18:21:00,-10.33934,-64.62196,VIIRS,False,4221298
26.4,2015-09-17,18:21:00,-10.36543,-64.60716,VIIRS,False,4221298
4.1,2015-09-17,18:21:00,-10.2913,-64.62045,VIIRS,False,4221298
6.4,2015-09-17,18:21:00,-10.334719999999999,-64.62281,VIIRS,False,4221298
17.5,2015-09-17,18:21:00,-10.31478,-64.59100000000001,VIIRS,False,4221298
2.5,2015-09-17,18:21:00,-10.3608,-64.608,VIIRS,False,4221298
17.5,2015-09-17,18:21:00,-10.31565,-64.59595,VIIRS,False,4221298
35.8,2015-09-17,18:21:00,-10.36341,-64.60876999999999,VIIRS,False,4221298
2.0,2015-09-18,18:02:00,-10.30955,-64.63387,VIIRS,False,4221298
2.1,2015-09-18,18:02:00,-10.28952,-64.66521999999999,VIIRS,False,4221298
3.2,2015-09-18,18:02:00,-10.28849,-64.66534,VIIRS,False,4221298
5.8,2015-09-18,18:02:00,-10.3556,-64.63043,VIIRS,False,4221298
2.6,2015-09-18,18:02:00,-10.34038,-64.62487,VIIRS,False,4221298
6.9,2015-09-21,17:06:00,-10.29004,-64.66581,VIIRS,False,4221298
22.3,2015-09-23,18:08:00,-10.3525,-64.61626,VIIRS,False,4221298
22.3,2015-09-23,18:08:00,-10.35174,-64.61166,VIIRS,False,4221298
22.3,2015-09-23,18:08:00,-10.35552,-64.61103,VIIRS,False,4221298
7.2,2015-09-24,17:50:00,-10.310260000000001,-64.57064,VIIRS,False,4221298
12.1,2015-09-25,17:31:00,-10.33263,-64.67168000000001,VIIRS,False,4221298
12.0,2015-09-25,17:31:00,-10.30134,-64.62908,VIIRS,False,4221298
33.9,2015-09-25,17:31:00,-10.33211,-64.66781999999999,VIIRS,False,4221298
14.7,2015-09-25,17:31:00,-10.28086,-64.53882,VIIRS,False,4221298
33.9,2015-09-25,17:31:00,-10.33578,-64.66334,VIIRS,False,4221298
11.7,2015-09-27,18:33:00,-10.28166,-64.53430999999999,VIIRS,False,4221298
11.7,2015-09-27,18:33:00,-10.28817,-64.53728000000001,VIIRS,False,4221298
9.4,2015-09-27,18:33:00,-10.28321,-64.5425,VIIRS,False,4221298
11.7,2015-09-27,18:33:00,-10.28244,-64.53842,VIIRS,False,4221298
9.4,2015-09-27,18:33:00,-10.28894,-64.54135,VIIRS,False,4221298
0.6,2015-09-28,05:39:00,-10.28375,-64.53811,VIIRS,False,4221298
0.6,2015-09-28,05:39:00,-10.2843,-64.53461,VIIRS,False,4221298
4.9,2015-09-28,18:15:00,-10.279639999999999,-64.54292,VIIRS,False,4221298
10.3,2015-09-29,17:56:00,-10.2792,-64.54252,VIIRS,False,4221298
7.8,2015-09-29,17:56:00,-10.2831,-64.54557,VIIRS,False,4221298
