latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,year,month,month_name
-12.79751,-54.234519999999996,367.0,0.52,0.42,2012-06-28,1725,N,VIIRS,h,1,338.8,476.1,0.0,,2012,6,Jun
-12.7959,-54.224909999999994,367.0,0.52,0.42,2012-06-28,1725,N,VIIRS,h,1,365.4,365.4,0.0,,2012,6,Jun
-12.7981,-54.21455,367.0,0.52,0.42,2012-06-28,1725,N,VIIRS,l,1,380.0,865.7,0.0,,2012,6,Jun
-12.801110000000001,-54.208999999999996,367.0,0.52,0.42,2012-06-28,1725,N,VIIRS,l,1,380.0,865.7,0.0,,2012,6,Jun
-10.827919999999999,-45.332,367.0,0.41,0.45,2012-07-02,1609,N,VIIRS,l,1,380.0,426.8,0.0,,2012,7,Jul
-10.828439999999999,-45.3358,356.0,0.41,0.45,2012-07-02,1609,N,VIIRS,n,1,309.8,426.8,0.0,,2012,7,Jul
-10.8274,-45.32821,367.0,0.41,0.45,2012-07-02,1609,N,VIIRS,h,1,370.7,466.5,0.0,,2012,7,Jul
-10.826889999999999,-45.32444,367.0,0.41,0.45,2012-07-02,1609,N,VIIRS,h,1,340.7,466.5,0.0,,2012,7,Jul
-10.831539999999999,-45.32764,367.0,0.41,0.45,2012-07-02,1609,N,VIIRS,l,1,380.0,466.5,0.0,,2012,7,Jul
-10.83257,-45.33522,340.9,0.41,0.45,2012-07-02,1609,N,VIIRS,n,1,299.8,426.8,0.0,,2012,7,Jul
-10.83103,-45.323879999999996,367.0,0.41,0.45,2012-07-02,1609,N,VIIRS,h,1,365.6,466.5,0.0,,2012,7,Jul
-14.316170000000001,-45.08083,367.0,0.53,0.42,2012-07-07,1615,N,VIIRS,h,1,350.1,281.5,0.0,,2012,7,Jul
-14.31551,-45.07589,355.4,0.53,0.42,2012-07-07,1615,N,VIIRS,n,1,313.5,281.5,0.0,,2012,7,Jul
-14.311639999999999,-45.076370000000004,367.0,0.53,0.42,2012-07-07,1615,N,VIIRS,h,1,363.0,281.5,0.0,,2012,7,Jul
-6.25751,-45.37395,367.0,0.66,0.73,2012-07-09,1720,N,VIIRS,h,1,300.7,413.8,0.0,,2012,7,Jul
-13.27423,-53.175540000000005,367.0,0.39,0.36,2012-07-10,1659,N,VIIRS,l,1,334.9,302.3,0.0,,2012,7,Jul
-13.27087,-53.17606,367.0,0.39,0.36,2012-07-10,1659,N,VIIRS,h,1,359.9,302.3,0.0,,2012,7,Jul
-13.27034,-53.172419999999995,367.0,0.39,0.36,2012-07-10,1659,N,VIIRS,h,1,348.0,302.3,0.0,,2012,7,Jul
-12.41924,-44.375890000000005,334.9,0.75,0.77,2012-07-14,1724,N,VIIRS,n,1,300.3,280.4,0.0,,2012,7,Jul
-3.38005,-43.30249,367.0,0.46,0.39,2012-07-17,1630,N,VIIRS,h,1,348.2,349.0,0.0,,2012,7,Jul
-8.03991,-43.13428,208.0,0.58,0.7,2012-07-20,1532,N,VIIRS,l,1,321.8,878.0,0.0,,2012,7,Jul
-8.03924,-43.12892,367.0,0.58,0.69,2012-07-20,1532,N,VIIRS,h,1,359.4,878.0,0.0,,2012,7,Jul
-8.033439999999999,-43.135090000000005,367.0,0.58,0.7,2012-07-20,1532,N,VIIRS,h,1,368.2,878.0,0.0,,2012,7,Jul
-8.03278,-43.12975,367.0,0.58,0.69,2012-07-20,1532,N,VIIRS,h,1,345.1,878.0,0.0,,2012,7,Jul
-8.03242,-43.13211,367.0,0.58,0.69,2012-07-20,1533,N,VIIRS,h,1,346.6,810.7,0.0,,2012,7,Jul
-8.03312,-43.13745,367.0,0.58,0.69,2012-07-20,1533,N,VIIRS,h,1,370.3,497.9,0.0,,2012,7,Jul
-8.038889999999999,-43.13131,367.0,0.58,0.69,2012-07-20,1533,N,VIIRS,h,1,368.2,810.7,0.0,,2012,7,Jul
-8.03818,-43.12597,367.0,0.58,0.69,2012-07-20,1533,N,VIIRS,h,1,355.0,810.7,0.0,,2012,7,Jul
-8.03172,-43.12678,346.0,0.58,0.69,2012-07-20,1533,N,VIIRS,n,1,319.1,810.7,0.0,,2012,7,Jul
-8.03382,-43.14281,208.0,0.58,0.7,2012-07-20,1533,N,VIIRS,l,1,311.6,497.9,0.0,,2012,7,Jul
-8.039589999999999,-43.13668,208.0,0.58,0.69,2012-07-20,1533,N,VIIRS,l,1,304.3,497.9,0.0,,2012,7,Jul
-8.0403,-43.14205,347.7,0.58,0.7,2012-07-20,1533,N,VIIRS,n,1,295.3,497.9,0.0,,2012,7,Jul
-23.1236,-54.01886999999999,353.3,0.39,0.36,2012-07-20,1709,N,VIIRS,n,1,314.0,412.2,0.0,,2012,7,Jul
-23.12526,-54.03045,367.0,0.39,0.36,2012-07-20,1709,N,VIIRS,l,1,380.0,439.3,0.0,,2012,7,Jul
-23.1219,-54.031009999999995,367.0,0.39,0.36,2012-07-20,1709,N,VIIRS,h,1,360.1,439.3,0.0,,2012,7,Jul
-23.12023,-54.01942,352.0,0.39,0.36,2012-07-20,1709,N,VIIRS,n,1,325.4,412.2,0.0,,2012,7,Jul
-23.12134,-54.02715,367.0,0.39,0.36,2012-07-20,1709,N,VIIRS,l,1,380.0,439.3,0.0,,2012,7,Jul
-23.12078,-54.02328000000001,367.0,0.39,0.36,2012-07-20,1709,N,VIIRS,l,1,380.0,412.2,0.0,,2012,7,Jul
-23.12471,-54.02658,367.0,0.39,0.36,2012-07-20,1709,N,VIIRS,h,1,336.5,439.3,0.0,,2012,7,Jul
-23.12415,-54.02271999999999,367.0,0.39,0.36,2012-07-20,1709,N,VIIRS,h,1,371.7,412.2,0.0,,2012,7,Jul
-11.64759,-54.41304,367.0,0.4,0.37,2012-07-20,1712,N,VIIRS,h,1,351.7,305.8,0.0,,2012,7,Jul
-8.05097,-43.15104,367.0,0.5,0.41,2012-07-22,1635,N,VIIRS,h,1,354.5,280.8,0.0,,2012,7,Jul
-6.63922,-45.56239,367.0,0.41,0.37,2012-07-22,1636,N,VIIRS,l,1,380.0,332.0,0.0,,2012,7,Jul
-6.63978,-45.56606,367.0,0.41,0.37,2012-07-22,1636,N,VIIRS,h,1,346.2,332.0,0.0,,2012,7,Jul
-6.63727,-45.52787,367.0,0.41,0.37,2012-07-22,1636,N,VIIRS,h,1,363.0,330.4,0.0,,2012,7,Jul
-6.64703,-45.56783,367.0,0.41,0.37,2012-07-22,1636,N,VIIRS,h,1,356.7,316.7,0.0,,2012,7,Jul
-6.65044,-45.5673,367.0,0.41,0.37,2012-07-22,1636,N,VIIRS,h,1,350.4,316.7,0.0,,2012,7,Jul
